Fecha,Tipo,Código de confirmación,Detalles,Código de referencia,Moneda,Monto,Total pagado,fuente
2025-05-19,Reservación,HMKY89Z35C,,G-EMNGPVQE5JSBX,COP,57800.0,1362.2,PRINCIPAL
2025-05-19,Reservación,HMXT8XW2FS,,G-EMNGPVQE5JSBX,COP,1430385.01,1362.2,PRINCIPAL
2025-05-19,Reservación,HM4HDXQ9HK,,G-EMNGPVQE5JSBX,COP,226950.0,1362.2,PRINCIPAL
2025-05-19,Reservación,HME28CYWZM,,G-EMNGPVQE5JSBX,COP,176655.16,1362.2,PRINCIPAL
2025-05-19,Reservación,HMJQ85BD9X,,G-EMNGPVQE5JSBX,COP,1408476.21,1362.2,PRINCIPAL
2025-05-19,Reservación,HMK3SRWQR8,,G-EMNGPVQE5JSBX,COP,760721.34,1362.2,PRINCIPAL
2025-05-19,Reservación,HMAEMJJJWZ,,G-EMNGPVQE5JSBX,COP,93500.0,1362.2,PRINCIPAL
2025-05-19,Reservación,HMSPC8JQRZ,,G-EMNGPVQE5JSBX,COP,326187.5,1362.2,PRINCIPAL
2025-05-19,Reservación,HMXAJ54BFC,,G-EMNGPVQE5JSBX,COP,416739.44,1362.2,PRINCIPAL
2025-05-19,Reservación,HMY2K8Q5H2,,G-EMNGPVQE5JSBX,COP,102000.0,1362.2,PRINCIPAL
2025-05-19,Reservación,HMJ8ABFC5K,,G-EMNGPVQE5JSBX,COP,124100.0,1362.2,PRINCIPAL
2025-05-19,Reservación,HMR299HDAF,,G-EMNGPVQE5JSBX,COP,483065.73,1362.2,PRINCIPAL
2025-05-19,Reservación,HMB5F9PBXR,,G-EMNGPVQE5JSBX,COP,118077.58,1362.2,PRINCIPAL
2025-05-19,Reservación,HMC5SZZR34,,G-FW2OC3H2RVTX6,COP,166175.0,39.7,PRINCIPAL
2025-05-19,Reservación,HMQ5SM28E5,,G-ZW5AXGJH556LA,COP,527955.74,2418.13,PRINCIPAL
2025-05-19,Reservación,HMKBJANHXZ,,G-ZW5AXGJH556LA,COP,999975.91,2418.13,PRINCIPAL
2025-05-19,Reservación,HM5BCBNH5Q,,G-ZW5AXGJH556LA,COP,827551.09,2418.13,PRINCIPAL
2025-05-19,Reservación,HM8EWWHSQE,,G-ZW5AXGJH556LA,COP,1363210.23,2418.13,PRINCIPAL
2025-05-19,Reservación,HME4MDTWSD,,G-ZW5AXGJH556LA,COP,340000.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMA3SX5ZCM,,G-ZW5AXGJH556LA,COP,188685.72,2418.13,PRINCIPAL
2025-05-19,Reservación,HMSQ8HXEX8,,G-ZW5AXGJH556LA,COP,340000.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMBFCQTN9D,,G-ZW5AXGJH556LA,COP,222487.5,2418.13,PRINCIPAL
2025-05-19,Reservación,HMK893K52A,,G-ZW5AXGJH556LA,COP,118077.58,2418.13,PRINCIPAL
2025-05-19,Reservación,HMWBKJF4YC,,G-ZW5AXGJH556LA,COP,178500.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HM5Q4C8TXY,,G-ZW5AXGJH556LA,COP,110500.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMT2NFDJFH,,G-ZW5AXGJH556LA,COP,127500.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMK9FSD8H3,,G-ZW5AXGJH556LA,COP,535500.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMXX22BHQS,,G-ZW5AXGJH556LA,COP,211650.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMAWMFQXQA,,G-ZW5AXGJH556LA,COP,263500.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMHZF2WZ5S,,G-ZW5AXGJH556LA,COP,1414233.1,2418.13,PRINCIPAL
2025-05-19,Reservación,HMX5E5BWQR,,G-ZW5AXGJH556LA,COP,388662.5,2418.13,PRINCIPAL
2025-05-19,Reservación,HM9QXF5J8F,,G-ZW5AXGJH556LA,COP,118611.55,2418.13,PRINCIPAL
2025-05-19,Reservación,HM3M3Q2DCD,,G-ZW5AXGJH556LA,COP,394235.18,2418.13,PRINCIPAL
2025-05-19,Reservación,HMH92S8TJC,,G-ZW5AXGJH556LA,COP,209100.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMESCK53TJ,,G-ZW5AXGJH556LA,COP,231328.44,2418.13,PRINCIPAL
2025-05-19,Reservación,HM5Q4QZ3TQ,,G-ZW5AXGJH556LA,COP,231328.44,2418.13,PRINCIPAL
2025-05-19,Reservación,HMFT9JSS9Y,,G-ZW5AXGJH556LA,COP,119000.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HM98XNDRSQ,,G-ZW5AXGJH556LA,COP,86700.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMEXMHQMTM,,G-ZW5AXGJH556LA,COP,411887.56,2418.13,PRINCIPAL
2025-05-19,Reservación,HMW8F2E8WC,,G-ZW5AXGJH556LA,COP,161500.0,2418.13,PRINCIPAL
2025-05-19,Reservación,HMRYPYJNB8,,G-T5WF4HNUAUJIF,COP,484551.0,1474.71,PRINCIPAL
2025-05-19,Reservación,HMSP5RST3S,,G-T5WF4HNUAUJIF,COP,239507.18,1474.71,PRINCIPAL
