id_accival,Código de referencia,Monto,Total pagado,Fecha,Cantidad reservas,fuente
accival_may_01,G-Q3SEWZTUSOSYQ,114750.0,27.01,2025-05-01 00:00:00,1,PRINCIPAL
accival_may_01,G-H4DZRPGY7QYQZ,7864343.66,1842.76,2025-05-01 00:00:00,18,PRINCIPAL
accival_may_01,G-YBBMESQP2FZVY,181276.69,42.68,2025-05-01 00:00:00,1,PRINCIPAL
accival_may_01,G-EFSN3Q7S2NZCF,123250.0,29.39,2025-05-01 00:00:00,1,PRINCIPAL
accival_may_01,G-ZDR3FZFOQXJH3,12613589.33,2969.5,2025-05-01 00:00:00,20,PRINCIPAL
accival_may_01,G-DNRUA5R6N2RGL,95625.0,22.51,2025-05-01 00:00:00,1,PRINCIPAL
accival_may_02,G-MCUIWMDP5ALIX,8620414.81,2036.68,2025-05-02 00:00:00,21,PRINCIPAL
accival_may_02,G-JKE74NIXNUY4M,8192146.24,1927.31,2025-05-05 00:00:00,22,PRINCIPAL
accival_may_02,G-ED5ZYHQFUII7A,170510.0,40.04,2025-05-05 00:00:00,2,PRINCIPAL
accival_may_02,G-ICA3MIGARW5PQ,172849.45,40.84,2025-05-05 00:00:00,1,PRINCIPAL
accival_may_02,G-MA3SHX22DTL2W,5083895.8100000005,1193.67,2025-05-05 00:00:00,5,PRINCIPAL
accival_may_02,G-SLGJ4MHQUUHHI,340958.67000000004,80.25,2025-05-05 00:00:00,5,PRINCIPAL
accival_may_02,G-G6D3ZJLOH4JJV,6204099.7700000005,1460.34,2025-05-05 00:00:00,20,PRINCIPAL
accival_may_03,G-E4P3ATEFGDFM2,9299289.12,2164.44,2025-05-06 00:00:00,15,PRINCIPAL
accival_may_03,G-V4WFRFSFDWJ7M,97750.0,22.75,2025-05-06 00:00:00,1,PRINCIPAL
accival_may_03,G-N5SFUFXMZUJE6,97750.0,22.72,2025-05-07 00:00:00,1,PRINCIPAL
accival_may_03,G-JNEOK4UO7DPOI,358653.97000000003,83.36,2025-05-08 00:00:00,2,PRINCIPAL
accival_may_03,G-RZA7I3HVCPG3Y,97750.0,22.77,2025-05-08 00:00:00,1,PRINCIPAL
