id_accival,monto_usd,num_transacciones,trm,monto_cop,costo,fecha,trm_dia
accival_may_01,6236.57,9,4215.0,26211775.39,63333.75,2025-05-02 00:00:00,4243.0
accival_may_02,6886.5,8,4260.0,29260027.38,64254.3,2025-05-06 00:00:00,4305.0
accival_may_03,5031.32,8,4210.0,21105812.27,63903.3,2025-05-09 00:00:00,4239.0
accival_may_04,6865.28,7,4160.0,28509363.46,42186.0,2025-05-13 00:00:00,4218.0
accival_may_05,5447.92,4,4150.0,22558927.75,41966.6,2025-05-16 00:00:00,4196.0
accival_may_06,7535.18,11,4140.0,31146045.64,41680.3,2025-05-20 00:00:00,4168.0
accival_may_07,6427.26,14,4148.0,26610657.79,41694.7,2025-05-22 00:00:00,4172.0
accival_may_08,7746.75,11,4100.0,31712106.62,41654.1,2025-05-27 00:00:00,4165.0
accival_may_09,4017.23,8,4120.0,16502116.8,41067.9,2025-05-30 00:00:00,4106.0
accival_jun_01,11876.09,10,4108.0,48786977.72,0.0,2025-06-03 00:00:00,4141.0
accival_jun_02,4769.32,7,4100.0,19505449.85,40976.6,2025-06-06 00:00:00,4097.0
accival_jun_03,10333.880000000001,9,4150.0,42885602.1,0.0,2025-06-10 00:00:00,4197.0
accival_jun_04,10087.16,22,4070.0,41054700.5,0.0,2025-06-17 00:00:00,4100.0
accival_jun_05,7402.0599999999995,10,4045.0,29892824.49,40763.2,2025-06-20 00:00:00,4100.0
accival_jun_06,9725.92,13,4050.0,39341423.29,40800.6,2025-06-24 00:00:00,4080.0
accival_jun_07,5330.38,8,4030.0,21433321.25,40428.0,2025-06-27 00:00:00,4040.0
accival_jul_01,7471.99,13,4028.0,30048746.65,40686.7,2025-07-01 00:00:00,4069.0
accival_jul_02,5876.53,8,3985.0,23370677.05,39743.7,2025-07-07 00:00:00,3974.0
accival_jul_03,12792.35,19,3990.0,51041476.5,0.0,2025-07-10 00:00:00,4054.0
accival_jul_04,14711.71,19,4000.0,58846840.0,0.0,2025-07-16 00:00:00,4011.0
accival_jul_05,4630.9,9,4005.0,18499147.24,40006.1,2025-07-21 00:00:00,4000.0
accival_jul_06,6765.78,5,4040.0,27285838.59,40262.7,2025-07-22 00:00:00,4060.0
accival_jul_07,3592.53,6,4064.0,14527511.84,60949.65,2025-07-25 00:00:00,
accival_jul_08,1991.2,1,4135.0,8184697.29,41104.8,2025-07-28 00:00:00,4110.0
accival_jul_09,12980.59,18,4135.0,53674739.65,0.0,2025-07-31 00:00:00,
accival_ago_01,3006.09,4,4100.0,12300058.08,20933.55,2025-08-01 00:00:00,
accival_ago_02,9622.15,14,4000.0,38440412.74,40493.5,2025-08-08 00:00:00,
accival_ago_03,2137.06,2,4020.0,8542967.79,40347.4,2025-08-11 00:00:00,4034.0
accival_ago_04,7942.45,13,4002.0,31737504.89,40487.4,2025-08-15 00:00:00,4000.0
accival_ago_05,14238.95,10,4005.0,57026994.75,0.0,2025-08-19 00:00:00,4000.0
accival_ago_06,2290.01,6,3980.0,9066233.06,40341.8,2025-08-22 00:00:00,4043.0
accival_ago_07,1330.57,1,3990.0,5260967.56,40341.8,2025-08-25 00:00:00,4008.0
accival_ago_08,6826.05,9,4010.0,27372460.5,40445.1,2025-08-27 00:00:00,4040.0
accival_ago_09,7688.4,3,3992.0,30644265.63,40190.9,2025-08-29 00:00:00,4020.0
accival_sept_02,7388.719999999999,5,3932.0,29004953.07,39910.9,2025-09-02 00:00:00,3991.0
accival_sept_01,5991.2,8,4002.0,23928963.32,40184.1,2025-09-03 00:00:00,4018.0
accival_sept_03,5155.08,8,3880.0,19954761.45,39452.9,2025-09-09 00:00:00,3945.0
accival_sept_04,4682.74,11,3880.0,18122583.36,39031.8,2025-09-12 00:00:00,3903.0
accival_sept_05,6198.69,8,3850.0,23818575.42,38975.7,2025-09-16 00:00:00,3897.0
accival_sept_06,7753.58,11,3873.0,30029615.34,,2025-09-19 00:00:00,3892.0
accival_sept_07,5521.07,12,3818.0,21033604.56,38521.6,2025-09-23 00:00:00,3852.0
accival_sept_08,4815.29,11,3884.0,18656189.81,38988.7,2025-09-26 00:00:00,3898.0
accival_sept_09,10282.460000000001,10,3870.0,39793120.2,,2025-09-30 00:00:00,3901.0
accival_oct_01,5596.66,9,3830.0,21435207.8,0.0,2025-10-03 00:00:00,3897.0
accival_oct_02,6632.19,10,3830.0,25401287.7,0.0,2025-10-07 00:00:00,3853.0
accival_oct_03,4669.2,8,3850.0,17903776.39,61405.05,2025-10-10 00:00:00,3894.0
accival_oct_04,8694.93,14,3907.0,33924523.95,39132.4,2025-10-14 00:00:00,3913.0
accival_oct_05,5162.33,7,3845.0,19803842.22,38081.2,2025-10-20 00:00:00,3804.0
accival_oct_06,11392.77,17,3822.0,16769147.84,38887.6,2025-10-24 00:00:00,3884.0
accival_oct_07,12136.56,8,3848.0,46701482.88,0.0,2025-10-28 00:00:00,3856.0
accival_oct_08,7817.280000000001,14,3820.0,29838980.6,19352.1,2025-10-31 00:00:00,3856.0
accival_nov_01,10363.13,11,3846.0,39856597.98,0.0,2025-11-04 00:00:00,3860.0
accival_nov_02,4197.98,8,3766.0,15764288.67,38070.6,2025-11-07 00:00:00,3808.0
accival_nov_03,8844.85,13,3680.0,32526670.47,18804.65,2025-11-12 00:00:00,3760.0
accival_nov_04,9493.13,20,3700.0,35102180.62,18823.0,2025-11-18 00:00:00,3723.0
accival_nov_05,2295.29,7,3728.0,8855641.12,37167.3,2025-11-20 15:31:59,3716.0
pre_accival,5863.43,3,,,,,
